episode,phase,debut,fin,duree
1,Explosion,1950Q2,1950Q4,3
2,Ralentissement,1951Q1,1952Q3,7
3,Explosion,1952Q4,1953Q2,3
4,Decrochage,1953Q3,1954Q2,4
5,Reprise,1954Q3,1954Q4,2
6,Explosion,1955Q1,1955Q3,3
7,Ralentissement,1955Q4,1957Q3,8
8,Decrochage,1957Q4,1958Q1,2
9,Reprise,1958Q2,1959Q1,4
10,Ralentissement,1959Q2,1960Q3,6
11,Decrochage,1960Q4,1961Q1,2
12,Reprise,1961Q2,1961Q4,3
13,Ralentissement,1962Q1,1963Q1,5
14,Explosion,1963Q2,1966Q1,12
15,Ralentissement,1966Q2,1967Q3,6
16,Reprise,1967Q4,1968Q2,3
17,Decrochage,1968Q3,1970Q4,10
18,Reprise,1971Q1,1972Q1,5
19,Explosion,1972Q2,1973Q1,4
20,Ralentissement,1973Q2,1974Q1,4
21,Decrochage,1974Q2,1975Q1,4
22,Reprise,1975Q2,1976Q2,5
23,Decrochage,1976Q3,1976Q4,2
24,Explosion,1977Q1,1978Q4,8
25,Ralentissement,1979Q1,1979Q4,4
26,Decrochage,1980Q1,1980Q3,3
27,Reprise,1980Q4,1981Q3,4
28,Decrochage,1981Q4,1982Q3,4
29,Reprise,1982Q4,1983Q3,4
30,Explosion,1983Q4,1984Q1,2
31,Ralentissement,1984Q2,1990Q3,26
32,Decrochage,1990Q4,1991Q1,2
33,Reprise,1991Q2,1992Q4,7
34,Decrochage,1993Q1,1993Q4,4
35,Explosion,1994Q1,1994Q3,3
36,Ralentissement,1994Q4,1995Q4,5
37,Explosion,1996Q1,2000Q2,18
38,Ralentissement,2000Q3,2000Q4,2
39,Decrochage,2001Q1,2001Q4,4
40,Reprise,2002Q1,2003Q3,7
41,Explosion,2003Q4,2004Q1,2
42,Ralentissement,2004Q2,2008Q2,17
43,Decrochage,2008Q3,2009Q2,4
44,Reprise,2009Q3,2010Q3,5
45,Decrochage,2010Q4,2011Q3,4
46,Explosion,2011Q4,2015Q1,14
47,Ralentissement,2015Q2,2019Q4,19
48,Decrochage,2020Q1,2020Q2,2
49,Reprise,2020Q3,2021Q1,3
50,Ralentissement,2021Q2,2022Q4,7
51,Explosion,2023Q1,2026Q2,14
