date,gap,croissance,niveau,momentum,phase,provisoire
1949Q1,0.715,0.943,0,0,Decrochage,False
1949Q2,-1.01,-1.035,0,0,Decrochage,False
1949Q3,-1.412,-0.583,0,0,Decrochage,False
1949Q4,-3.607,-1.527,0,0,Decrochage,False
1950Q1,-1.147,3.773,0,0,Decrochage,False
1950Q2,0.494,7.303,1,1,Explosion,False
1950Q3,2.967,10.31,1,1,Explosion,False
1950Q4,3.548,13.372,1,1,Explosion,False
1951Q1,3.603,10.565,1,0,Ralentissement,False
1951Q2,4.045,9.15,1,0,Ralentissement,False
1951Q3,4.753,7.253,1,0,Ralentissement,False
1951Q4,3.587,5.468,1,0,Ralentissement,False
1952Q1,3.255,5.165,1,0,Ralentissement,False
1952Q2,2.036,3.596,1,0,Ralentissement,False
1952Q3,1.431,2.237,1,0,Ralentissement,False
1952Q4,3.429,5.364,1,1,Explosion,False
1953Q1,4.174,6.19,1,1,Explosion,False
1953Q2,3.939,6.782,1,1,Explosion,False
1953Q3,2.483,5.421,1,0,Ralentissement,False
1953Q4,0.164,0.524,1,0,Ralentissement,False
1954Q1,-1.058,-1.782,0,0,Decrochage,False
1954Q2,-1.616,-2.429,0,0,Decrochage,False
1954Q3,-1.12,-0.768,1,1,Explosion,False
1954Q4,0.173,2.729,1,1,Explosion,False
1955Q1,2.363,6.17,1,1,Explosion,False
1955Q2,3.31,7.78,1,1,Explosion,False
1955Q3,4.004,8.016,1,1,Explosion,False
1955Q4,3.938,6.579,1,0,Ralentissement,False
1956Q1,2.882,3.217,1,0,Ralentissement,False
1956Q2,3.052,2.403,1,0,Ralentissement,False
1956Q3,2.282,0.948,1,0,Ralentissement,False
1956Q4,3.202,1.997,1,0,Ralentissement,False
1957Q1,3.077,3.05,1,0,Ralentissement,False
1957Q2,2.047,1.981,1,0,Ralentissement,False
1957Q3,2.179,3.073,1,0,Ralentissement,False
1957Q4,0.265,0.355,1,0,Ralentissement,False
1958Q1,-3.234,-2.872,1,0,Ralentissement,False
1958Q2,-3.468,-2.02,0,1,Reprise,False
1958Q3,-2.077,-0.726,0,1,Reprise,False
1958Q4,-0.703,2.657,0,1,Reprise,False
1959Q1,0.25,7.415,1,1,Explosion,False
1959Q2,1.502,9.119,1,1,Explosion,False
1959Q3,0.549,6.726,1,1,Explosion,False
1959Q4,-0.191,4.585,1,1,Explosion,False
1960Q1,0.99,4.924,1,1,Explosion,False
1960Q2,-0.566,2.059,0,0,Decrochage,False
1960Q3,-1.082,2.488,0,0,Decrochage,False
1960Q4,-3.347,0.885,0,0,Decrochage,False
1961Q1,-3.64,-0.668,0,0,Decrochage,False
1961Q2,-2.877,1.566,0,1,Reprise,False
1961Q3,-1.913,3.012,0,1,Reprise,False
1961Q4,-0.901,6.397,0,1,Reprise,False
1962Q1,-0.087,7.569,0,1,Reprise,False
1962Q2,-0.174,6.73,0,1,Reprise,False
1962Q3,0.023,6.007,0,1,Reprise,False
1962Q4,-0.698,4.31,0,0,Decrochage,False
1963Q1,-0.672,3.601,0,0,Decrochage,False
1963Q2,-0.625,3.825,1,1,Explosion,False
1963Q3,0.477,4.819,1,1,Explosion,False
1963Q4,0.052,5.16,1,1,Explosion,False
1964Q1,1.071,6.217,1,1,Explosion,False
1964Q2,1.076,6.182,1,1,Explosion,False
1964Q3,1.545,5.521,1,1,Explosion,False
1964Q4,0.781,5.158,1,1,Explosion,False
1965Q1,2.082,5.478,1,1,Explosion,False
1965Q2,2.28,5.66,1,1,Explosion,False
1965Q3,3.398,6.347,1,1,Explosion,False
1965Q4,4.601,8.462,1,1,Explosion,False
1966Q1,5.927,8.477,1,1,Explosion,False
1966Q2,5.185,7.489,1,0,Ralentissement,False
1966Q3,4.936,6.042,1,0,Ralentissement,False
1966Q4,4.668,4.504,1,0,Ralentissement,False
1967Q1,4.448,2.925,1,0,Ralentissement,False
1967Q2,3.403,2.638,1,0,Ralentissement,False
1967Q3,3.236,2.739,1,1,Explosion,False
1967Q4,2.869,2.671,1,1,Explosion,False
1968Q1,3.777,3.845,1,1,Explosion,False
1968Q2,4.338,5.515,1,1,Explosion,False
1968Q3,4.005,5.335,1,0,Ralentissement,False
1968Q4,3.293,4.958,1,0,Ralentissement,False
1969Q1,3.777,4.469,1,0,Ralentissement,False
1969Q2,3.053,3.065,1,0,Ralentissement,False
1969Q3,2.731,2.948,1,0,Ralentissement,False
1969Q4,1.297,2.044,1,0,Ralentissement,False
1970Q1,0.236,0.323,1,0,Ralentissement,False
1970Q2,-0.494,0.161,0,0,Decrochage,False
1970Q3,-0.417,0.421,0,0,Decrochage,False
1970Q4,-2.305,-0.167,0,0,Decrochage,False
1971Q1,-0.423,2.697,0,1,Reprise,False
1971Q2,-0.68,3.106,0,1,Reprise,False
1971Q3,-0.655,3.005,0,1,Reprise,False
1971Q4,-1.214,4.366,0,1,Reprise,False
1972Q1,-0.191,3.473,0,1,Reprise,False
1972Q2,1.252,5.251,1,1,Explosion,False
1972Q3,1.383,5.378,1,1,Explosion,False
1972Q4,2.221,6.892,1,1,Explosion,False
1973Q1,3.834,7.561,1,1,Explosion,False
1973Q2,4.058,6.32,1,0,Ralentissement,False
1973Q3,2.668,4.771,1,0,Ralentissement,False
1973Q4,2.739,4.024,1,0,Ralentissement,False
1974Q1,0.996,0.639,1,0,Ralentissement,False
1974Q2,0.351,-0.208,1,0,Ralentissement,False
1974Q3,-1.463,-0.629,0,0,Decrochage,False
1974Q4,-2.7,-1.946,0,0,Decrochage,False
1975Q1,-4.745,-2.3,0,0,Decrochage,False
1975Q2,-4.83,-1.835,0,1,Reprise,False
1975Q3,-3.916,0.799,0,1,Reprise,False
1975Q4,-3.353,2.555,0,1,Reprise,False
1976Q1,-1.891,6.154,0,1,Reprise,False
1976Q2,-1.926,6.174,0,1,Reprise,False
1976Q3,-2.162,4.958,0,0,Decrochage,False
1976Q4,-2.228,4.312,0,0,Decrochage,False
1977Q1,-1.855,3.227,0,0,Decrochage,False
1977Q2,-0.75,4.465,0,0,Decrochage,False
1977Q3,0.212,5.77,0,0,Decrochage,False
1977Q4,-0.626,5.013,0,1,Reprise,False
1978Q1,-1.16,4.114,0,1,Reprise,False
1978Q2,1.768,6.078,1,1,Explosion,False
1978Q3,1.89,5.247,1,1,Explosion,False
1978Q4,2.335,6.66,1,1,Explosion,False
1979Q1,1.607,6.51,1,0,Ralentissement,False
1979Q2,0.847,2.657,1,0,Ralentissement,False
1979Q3,0.777,2.389,1,0,Ralentissement,False
1979Q4,0.281,1.284,1,0,Ralentissement,False
1980Q1,-0.071,1.421,0,0,Decrochage,False
1980Q2,-2.738,-0.775,0,0,Decrochage,False
1980Q3,-3.355,-1.624,0,0,Decrochage,False
1980Q4,-2.025,-0.039,0,1,Reprise,False
1981Q1,-0.656,1.6,0,1,Reprise,False
1981Q2,-2.009,2.969,0,1,Reprise,False
1981Q3,-1.462,4.326,0,1,Reprise,False
1981Q4,-3.234,1.3,0,0,Decrochage,False
1982Q1,-5.502,-2.191,0,0,Decrochage,False
1982Q2,-5.762,-1.011,0,0,Decrochage,False
1982Q3,-6.871,-2.556,0,0,Decrochage,False
1982Q4,-7.57,-1.443,0,1,Reprise,False
1983Q1,-6.991,1.431,0,1,Reprise,False
1983Q2,-5.481,3.268,0,1,Reprise,False
1983Q3,-4.256,5.737,0,1,Reprise,False
1983Q4,-2.971,7.9,0,1,Reprise,False
1984Q1,-1.841,8.578,0,1,Reprise,False
1984Q2,-0.958,7.997,0,0,Decrochage,False
1984Q3,-0.843,6.901,0,0,Decrochage,False
1984Q4,-0.881,5.576,0,0,Decrochage,False
1985Q1,-0.774,4.555,0,0,Decrochage,False
1985Q2,-0.753,3.684,0,0,Decrochage,False
1985Q3,-0.089,4.262,0,0,Decrochage,False
1985Q4,-0.194,4.182,0,0,Decrochage,False
1986Q1,-0.101,4.146,0,0,Decrochage,False
