trimestre,phase,niveau,momentum,ecart_potentiel,pib_yoy,spx_rdt12m,sahm,provisoire
1950T2,Explosion,1,1,1.489,7.303,26.24,,False
1950T3,Explosion,1,1,3.396,10.31,20.49,,False
1950T4,Explosion,1,1,3.479,13.372,22.52,,False
1951T1,Ralentissement,1,0,3.142,10.565,26.05,,False
1951T2,Ralentissement,1,0,3.225,9.15,18.93,,False
1951T3,Ralentissement,1,0,3.576,7.253,24.48,,False
1951T4,Ralentissement,1,0,2.208,5.468,16.87,,False
1952T1,Ralentissement,1,0,1.666,5.165,10.69,,False
1952T2,Ralentissement,1,0,0.192,3.596,9.88,,False
1952T3,Ralentissement,1,0,-0.65,2.237,9.97,,False
1952T4,Explosion,1,1,0.762,5.364,8.43,,False
1953T1,Explosion,1,1,1.064,6.19,8.76,,False
1953T2,Explosion,1,1,0.542,6.782,2.33,,False
1953T3,Decrochage,0,0,-0.874,5.421,-4.13,,False
1953T4,Decrochage,0,0,-2.911,0.524,-2.65,,False
1954T1,Decrochage,0,0,-3.744,-1.782,0.03,,False
1954T2,Decrochage,0,0,-3.83,-2.429,16.13,,False
1954T3,Reprise,0,1,-2.846,-0.768,28.4,,False
1954T4,Reprise,0,1,-1.268,2.729,37.19,,False
1955T1,Explosion,1,1,0.997,6.17,39.53,,False
1955T2,Explosion,1,1,1.837,7.78,34.97,,False
1955T3,Explosion,1,1,2.317,8.016,40.25,,False
1955T4,Ralentissement,1,0,2.208,6.579,31.67,,False
1956T1,Ralentissement,1,0,1.26,3.217,24.96,,False
1956T2,Ralentissement,1,0,1.504,2.403,22.45,,False
1956T3,Ralentissement,1,0,0.751,0.948,11.4,,False
1956T4,Ralentissement,1,0,1.417,1.997,4.66,,False
1957T1,Ralentissement,1,0,0.948,3.05,-2.18,,False
1957T2,Decrochage,0,0,-0.387,1.981,-0.99,,False
1957T3,Decrochage,0,0,-0.53,3.073,-4.04,,False
1957T4,Decrochage,0,0,-2.451,0.355,-11.93,,False
1958T1,Decrochage,0,0,-5.484,-2.872,-6.31,,False
1958T2,Reprise,0,1,-5.154,-2.02,-6.16,,False
1958T3,Reprise,0,1,-3.256,-0.726,3.39,,False
1958T4,Reprise,0,1,-1.495,2.657,28.76,,False
1959T1,Reprise,0,1,-0.322,7.415,33.79,,False
1959T2,Reprise,0,1,1.058,9.119,31.96,,False
1959T3,Reprise,0,1,0.25,6.726,23.66,,False
1959T4,Reprise,0,1,-0.208,4.585,10.43,,False
1960T1,Reprise,0,1,1.148,4.924,1.38,,False
1960T2,Decrochage,0,0,-0.191,2.059,-2.49,,False
1960T3,Decrochage,0,0,-0.435,2.488,-5.11,,False
1960T4,Decrochage,0,0,-2.399,0.885,-4.21,,False
1961T1,Decrochage,0,0,-2.658,-0.668,10.3,,False
1961T2,Reprise,0,1,-1.944,1.566,17.72,,False
1961T3,Reprise,0,1,-0.994,3.012,19.96,,False
1961T4,Explosion,1,1,0.035,6.397,27.0,,False
1962T1,Explosion,1,1,0.876,7.569,12.74,,False
1962T2,Ralentissement,1,0,0.929,6.73,-5.71,,False
1962T3,Ralentissement,1,0,1.17,6.007,-13.46,,False
1962T4,Ralentissement,1,0,0.491,4.31,-15.2,,False
1963T1,Ralentissement,1,0,0.656,3.601,-6.17,,False
1963T2,Explosion,1,1,0.708,3.825,12.81,,False
1963T3,Explosion,1,1,1.68,4.819,22.71,,False
1963T4,Explosion,1,1,0.971,5.16,23.13,,False
1964T1,Explosion,1,1,1.598,6.217,18.3,,False
1964T2,Explosion,1,1,1.273,6.182,15.26,,False
1964T3,Explosion,1,1,1.455,5.521,16.84,,False
1964T4,Explosion,1,1,0.55,5.158,15.68,,False
1965T1,Explosion,1,1,1.67,5.478,11.64,,False
1965T2,Explosion,1,1,1.664,5.66,8.88,,False
1965T3,Explosion,1,1,2.501,6.347,4.89,,False
1965T4,Explosion,1,1,3.263,8.462,8.27,,False
1966T1,Explosion,1,1,4.038,8.477,5.86,,False
1966T2,Ralentissement,1,0,2.812,7.489,0.84,,False
1966T3,Ralentissement,1,0,2.191,6.042,-6.2,,False
1966T4,Ralentissement,1,0,1.539,4.504,-13.02,,False
1967T1,Ralentissement,1,0,1.038,2.925,-4.88,,False
1967T2,Ralentissement,1,0,-0.202,2.638,4.08,,False
1967T3,Reprise,0,1,-0.509,2.739,16.22,,False
1967T4,Reprise,0,1,-1.051,2.671,18.54,,False
1968T1,Reprise,0,1,-0.284,3.845,5.35,,False
1968T2,Decrochage,0,0,0.106,5.515,6.93,,False
1968T3,Decrochage,0,0,-0.277,5.335,5.8,,False
1968T4,Decrochage,0,0,-0.881,4.958,11.34,,False
1969T1,Decrochage,0,0,-0.218,4.469,10.21,,False
1969T2,Decrochage,0,0,-0.764,3.065,3.8,,False
1969T3,Decrochage,0,0,-0.902,2.948,-5.43,,False
1969T4,Decrochage,0,0,-2.055,2.044,-10.38,,False
1970T1,Decrochage,0,0,-2.765,0.323,-12.1,,False
1970T2,Decrochage,0,0,-3.171,0.161,-22.06,,False
1970T3,Decrochage,0,0,-2.789,0.421,-16.65,,False
1970T4,Decrochage,0,0,-4.246,-0.167,-8.41,,False
1971T1,Reprise,0,1,-2.014,2.697,9.1,1.533,False
1971T2,Reprise,0,1,-1.853,3.106,28.45,1.0,False
1971T3,Reprise,0,1,-1.44,3.005,25.3,0.7,False
1971T4,Reprise,0,1,-1.623,4.366,11.84,0.033,False
1972T1,Reprise,0,1,-0.269,3.473,8.99,0.0,False
1972T2,Explosion,1,1,1.324,5.251,6.65,0.0,False
1972T3,Explosion,1,1,1.567,5.378,10.83,0.0,False
1972T4,Explosion,1,1,2.329,6.892,18.4,0.0,False
1973T1,Explosion,1,1,3.641,7.561,9.18,0.0,False
1973T2,Ralentissement,1,0,3.486,6.32,-0.68,0.0,False
1973T3,Ralentissement,1,0,1.839,4.771,-3.76,0.0,False
1973T4,Ralentissement,1,0,1.49,4.024,-10.18,0.033,False
1974T1,Decrochage,0,0,-0.372,0.639,-16.77,0.4,False
1974T2,Decrochage,0,0,-1.102,-0.208,-15.62,0.467,False
1974T3,Decrochage,0,0,-2.849,-0.629,-29.09,0.9,False
1974T4,Decrochage,0,0,-3.962,-1.946,-31.89,1.667,False
1975T1,Decrochage,0,0,-5.627,-2.3,-17.6,3.167,False
1975T2,Reprise,0,1,-5.206,-1.835,-1.66,3.533,False
1975T3,Reprise,0,1,-3.85,0.799,17.88,2.667,False
1975T4,Reprise,0,1,-2.823,2.555,28.45,1.0,False
1976T1,Reprise,0,1,-0.884,6.154,26.59,0.0,False
1976T2,Reprise,0,1,-0.421,6.174,14.26,0.0,False
1976T3,Reprise,0,1,-0.254,4.958,19.26,0.167,False
1976T4,Ralentissement,1,0,0.095,4.312,15.15,0.2,False
1977T1,Ralentissement,1,0,0.705,3.227,2.36,0.0,False
1977T2,Explosion,1,1,1.901,4.465,-2.56,0.0,False
1977T3,Explosion,1,1,2.724,5.77,-6.0,0.0,False
1977T4,Explosion,1,1,1.713,5.013,-8.41,0.0,False
1978T1,Explosion,1,1,0.88,4.114,-12.22,0.0,False
1978T2,Explosion,1,1,3.259,6.078,-3.14,0.0,False
1978T3,Explosion,1,1,2.896,5.247,3.75,0.033,False
1978T4,Explosion,1,1,2.868,6.66,3.41,0.0,False
1979T1,Ralentissement,1,0,1.848,6.51,11.19,0.0,False
1979T2,Ralentissement,1,0,0.857,2.657,5.55,0.0,False
1979T3,Ralentissement,1,0,0.542,2.389,4.52,0.2,False
1979T4,Decrochage,0,0,-0.163,1.284,8.51,0.3,False
1980T1,Decrochage,0,0,-0.663,1.421,11.07,0.633,False
1980T2,Decrochage,0,0,-3.165,-0.775,7.19,1.667,False
1980T3,Decrochage,0,0,-3.484,-1.624,16.04,1.733,False
1980T4,Reprise,0,1,-2.038,-0.039,26.43,1.333,False
1981T1,Reprise,0,1,-0.711,1.6,19.5,0.933,False
1981T2,Reprise,0,1,-1.75,2.969,22.74,0.067,False
1981T3,Reprise,0,1,-0.923,4.326,2.07,0.067,False
1981T4,Decrochage,0,0,-2.231,1.3,-8.23,0.9,False
1982T1,Decrochage,0,0,-3.907,-2.191,-13.15,1.5,False
1982T2,Decrochage,0,0,-3.616,-1.011,-14.06,2.067,False
1982T3,Decrochage,0,0,-4.088,-2.556,-9.05,2.267,False
