mois,phase,niveau,momentum,ecart_potentiel,pib_yoy,provisoire,sahm,chomage
1949-01,Decrochage,0,0,0.715,0.943,False,,
1949-02,Decrochage,0,0,0.715,0.943,False,,
1949-03,Decrochage,0,0,0.715,0.943,False,,
1949-04,Decrochage,0,0,-1.01,-1.035,False,,
1949-05,Decrochage,0,0,-1.01,-1.035,False,,
1949-06,Decrochage,0,0,-1.01,-1.035,False,,
1949-07,Decrochage,0,0,-1.412,-0.583,False,,
1949-08,Decrochage,0,0,-1.412,-0.583,False,,
1949-09,Decrochage,0,0,-1.412,-0.583,False,,
1949-10,Decrochage,0,0,-3.607,-1.527,False,,
1949-11,Decrochage,0,0,-3.607,-1.527,False,,
1949-12,Decrochage,0,0,-3.607,-1.527,False,,
1950-01,Decrochage,0,0,-1.147,3.773,False,,
1950-02,Decrochage,0,0,-1.147,3.773,False,,
1950-03,Decrochage,0,0,-1.147,3.773,False,,
1950-04,Explosion,1,1,0.494,7.303,False,,
1950-05,Explosion,1,1,0.494,7.303,False,,
1950-06,Explosion,1,1,0.494,7.303,False,,
1950-07,Explosion,1,1,2.967,10.31,False,,
1950-08,Explosion,1,1,2.967,10.31,False,,
1950-09,Explosion,1,1,2.967,10.31,False,,
1950-10,Explosion,1,1,3.548,13.372,False,,
1950-11,Explosion,1,1,3.548,13.372,False,,
1950-12,Explosion,1,1,3.548,13.372,False,,
1951-01,Ralentissement,1,0,3.603,10.565,False,,
1951-02,Ralentissement,1,0,3.603,10.565,False,,
1951-03,Ralentissement,1,0,3.603,10.565,False,,
1951-04,Ralentissement,1,0,4.045,9.15,False,,
1951-05,Ralentissement,1,0,4.045,9.15,False,,
1951-06,Ralentissement,1,0,4.045,9.15,False,,
1951-07,Ralentissement,1,0,4.753,7.253,False,,
1951-08,Ralentissement,1,0,4.753,7.253,False,,
1951-09,Ralentissement,1,0,4.753,7.253,False,,
1951-10,Ralentissement,1,0,3.587,5.468,False,,
1951-11,Ralentissement,1,0,3.587,5.468,False,,
1951-12,Ralentissement,1,0,3.587,5.468,False,,
1952-01,Ralentissement,1,0,3.255,5.165,False,,
1952-02,Ralentissement,1,0,3.255,5.165,False,,
1952-03,Ralentissement,1,0,3.255,5.165,False,,
1952-04,Ralentissement,1,0,2.036,3.596,False,,
1952-05,Ralentissement,1,0,2.036,3.596,False,,
1952-06,Ralentissement,1,0,2.036,3.596,False,,
1952-07,Ralentissement,1,0,1.431,2.237,False,,
1952-08,Ralentissement,1,0,1.431,2.237,False,,
1952-09,Ralentissement,1,0,1.431,2.237,False,,
1952-10,Explosion,1,1,3.429,5.364,False,,
1952-11,Explosion,1,1,3.429,5.364,False,,
1952-12,Explosion,1,1,3.429,5.364,False,,
1953-01,Explosion,1,1,4.174,6.19,False,,
1953-02,Explosion,1,1,4.174,6.19,False,,
1953-03,Explosion,1,1,4.174,6.19,False,,
1953-04,Explosion,1,1,3.939,6.782,False,,
1953-05,Explosion,1,1,3.939,6.782,False,,
1953-06,Explosion,1,1,3.939,6.782,False,,
1953-07,Ralentissement,1,0,2.483,5.421,False,,
1953-08,Ralentissement,1,0,2.483,5.421,False,,
1953-09,Ralentissement,1,0,2.483,5.421,False,,
1953-10,Ralentissement,1,0,0.164,0.524,False,,
1953-11,Ralentissement,1,0,0.164,0.524,False,,
1953-12,Ralentissement,1,0,0.164,0.524,False,,
1954-01,Decrochage,0,0,-1.058,-1.782,False,,
1954-02,Decrochage,0,0,-1.058,-1.782,False,,
1954-03,Decrochage,0,0,-1.058,-1.782,False,,
